surname,count
李,34861
王,31921
張,28426
陳,21065
劉,19332
趙,14179
楊,12639
吳,11243
黃,9595
周,9233
徐,8917
朱,8678
鄭,8404
孫,6555
林,6536
胡,6288
郭,5081
沈,4884
高,4804
何,4646
馬,4627
崔,4577
盧,3982
許,3955
宋,3628
汪,3356
曹,3322
謝,3316
葉,3291
韓,3259
程,3186
馮,3160
方,3141
姚,3116
陸,3113
唐,3006
蕭,3002
蔡,2811
董,2767
潘,2721
金,2719
釋,2695
羅,2695
薛,2682
杜,2659
蔣,2638
梁,2630
錢,2607
呂,2551
范,2486
袁,2453
余,2347
顧,2308
彭,2290
魏,2240
曾,2195
丁,2191
俞,2188
韋,2181
裴,2132
愛,2068
章,2034
蘇,2025
田,1997
戴,1996
鄧,1975
史,1974
任,1945
傅,1943
江,1913
夏,1657
洪,1592
邵,1584
賈,1583
某,1558
于,1498
石,1491
秦,1455
博,1438
毛,1433
熊,1410
嚴,1380
侯,1338
鄒,1318
姜,1272
柳,1258
陶,1257
孟,1232
尹,1220
鍾,1141
龔,1134
萬,1110
施,1107
歐,1087
白,1083
竇,1075
孔,1057
湯,1005
段,978
倪,960
譚,929
閻,903
元,871
康,848
丘,847
葛,843
廖,841
舒,821
常,820
安,815
文,814
翁,812
賀,807
武,800
顏,792
莊,790
雷,778
黎,755
詹,754
樊,751
郝,728
鮑,698
祝,698
邢,652
牛,643
成,642
齊,640
左,616
魯,609
盛,605
莫,595
喬,592
紀,591
申,559
項,557
翟,551
阿,549
童,546
阮,543
伍,534
辛,534
富,534
焦,528
華,527
費,526
耿,517
衛,506
聶,503
路,502
虞,501
黄,501
殷,497
畢,493
包,489
游,487
饒,486
房,480
伊,480
凌,467
龍,464
瓜,463
向,462
梅,456
管,451
司,450
龐,441
甘,437
柯,432
喻,417
烏,416
覺,414
易,411
溫,402
應,397
邱,396
諸,394
霍,387
瞿,384
柴,365
臧,355
樂,355
佟,354
查,352
邊,350
季,350
閔,348
皇,345
岳,340
涂,335
桂,329
屠,328
宗,324
樓,318
苗,311
駱,304
尚,300
繆,299
褚,293
鈕,292
屈,287
解,286
權,284
穆,282
耶,282
完,281
靳,279
獨,273
納,272
單,265
吉,264
卜,262
滕,260
長,258
景,258
戚,257
朴,253
關,251
卓,247
鹿,245
南,242
時,241
車,240
婁,237
尤,235
藍,233
郁,232
封,231
哈,230
赫,230
卞,228
茅,227
連,225
賴,224
上,224
和,221
薩,221
宇,220
席,220
祁,220
艾,217
索,216
岑,216
商,213
晏,213
仇,210
德,209
那,208
蒲,207
牟,202
聞,201
來,196
慕,195
桑,194
温,190
明,188
師,184
祖,183
符,181
儲,178
榮,178
甯,177
脫,176
郎,175
晁,172
燕,172
奚,169
忽,169
談,168
寇,168
達,165
荊,165
狄,158
巴,157
敬,157
支,155
也,154
甄,154
沙,154
全,153
谷,153
浦,151
裘,151
惠,149
陽,147
勞,147
福,145
党,145
令,138
鄂,138
寧,137
麻,137
米,133
區,133
惲,133
仲,132
顔,132
慶,131
伯,130
閭,125
公,125
(,124
曲,124
海,123
鄔,123
冉,122
茹,121
雍,120
源,120
濮,119
危,118
豆,118
留,118
冷,116
佘,116
平,116
蓋,115
戈,115
金,114
敖,113
圖,113
廉,113
塔,112
庾,110
簡,110
額,109
蹇,108
古,107
鮮,104
計,103
陰,102
歸,101
木,100
叢,100
拓,100
官,99
冀,99
藺,98
西,97
刁,97
鄺,95
蒙,95
他,95
麥,94
亦,94
八,94
叚,93
強,90
宣,89
芮,89
棟,88
厲,87
帖,87
髙,86
杭,86
原,85
玉,84
普,83
柏,83
相,82
栗,82
凃,81
不,81
朶,81
姬,81
秃,80
苑,80
孛,80
蘭,79
宮,79
都,78
延,78
楚,78
練,78
帥,77
鞏,77
綽,76
覃,76
羊,76
池,76
扈,75
拜,75
呼,74
貢,73
恩,72
東,72
花,72
胥,72
皮,72
布,71
辜,70
法,69
嵇,69
答,69
英,68
喜,67
扎,66
郜,66
國,66
鞠,65
豐,65
紐,65
塗,64
端,64
保,64
月,64
崇,63
